
---------- Begin Simulation Statistics ----------
simSeconds                                   0.012668                       # Number of seconds simulated (Second)
simTicks                                  12668390500                       # Number of ticks simulated (Tick)
finalTick                                 12668390500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     97.87                       # Real time elapsed on the host (Second)
hostTickRate                                129436417                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2811968                       # Number of bytes of host memory used (Byte)
simInsts                                     18405434                       # Number of instructions simulated (Count)
simOps                                       21482674                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   188053                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219494                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bigCluster.clk_domain.clock                500                       # Clock period in ticks (Tick)
system.bigCluster.cpus.numCycles             25336782                       # Number of cpu cycles simulated (Cycle)
system.bigCluster.cpus.numWorkItemsStarted            0                       # Number of work items this cpu started (Count)
system.bigCluster.cpus.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.bigCluster.cpus.instsAdded            21567790                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.bigCluster.cpus.nonSpecInstsAdded         8197                       # Number of non-speculative instructions added to the IQ (Count)
system.bigCluster.cpus.instsIssued           21541384                       # Number of instructions issued (Count)
system.bigCluster.cpus.squashedInstsIssued         6929                       # Number of squashed instructions issued (Count)
system.bigCluster.cpus.squashedInstsExamined        93326                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.bigCluster.cpus.squashedOperandsExamined        75633                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.bigCluster.cpus.squashedNonSpecRemoved          182                       # Number of squashed non-spec instructions that were removed (Count)
system.bigCluster.cpus.numIssuedDist::samples     25113793                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::mean     0.857751                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.numIssuedDist::stdev     1.125266                       # Number of insts issued each cycle (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatCmp            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatCvt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatMult            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatMultAcc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatDiv            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatMisc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatSqrt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdAdd            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdAddAcc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdAlu            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdCmp            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdCvt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdMisc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdMult            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdMultAcc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdShift            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdShiftAcc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdDiv            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdSqrt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatAdd            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatAlu            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatCmp            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatCvt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatDiv            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatMisc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatMult            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatMultAcc            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatSqrt            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdReduceAdd            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdReduceAlu            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdReduceCmp            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatReduceAdd            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdFloatReduceCmp            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdAes            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdAesMix            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdSha1Hash            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdSha1Hash2            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdSha256Hash            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdSha256Hash2            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdShaSigma2            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdShaSigma3            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::SimdPredAlu            0      0.00%     70.84% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::MemRead      2261059     10.52%     81.37% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::MemWrite      4003543     18.63%    100.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatMemRead            0      0.00%    100.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::FloatMemWrite            0      0.00%    100.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::IprAccess            0      0.00%    100.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::InstPrefetch            0      0.00%    100.00% # Class of committed instruction (Count)
system.bigCluster.cpus.commit.committedInstType_0::total     21484117                       # Class of committed instruction (Count)
system.bigCluster.cpus.commit.commitEligibleSamples       455312                       # number cycles where commit BW limit reached (Cycle)
system.bigCluster.cpus.dcache.demandHits::bigCluster.cpus.data      2919358                       # number of demand (read+write) hits (Count)
system.bigCluster.cpus.dcache.demandHits::total      2919358                       # number of demand (read+write) hits (Count)
system.bigCluster.cpus.dcache.overallHits::bigCluster.cpus.data      2919603                       # number of overall hits (Count)
system.bigCluster.cpus.dcache.overallHits::total      2919603                       # number of overall hits (Count)
system.bigCluster.cpus.dcache.demandMisses::bigCluster.cpus.data      3338881                       # number of demand (read+write) misses (Count)
system.bigCluster.cpus.dcache.demandMisses::total      3338881                       # number of demand (read+write) misses (Count)
system.bigCluster.cpus.dcache.overallMisses::bigCluster.cpus.data      3339476                       # number of overall misses (Count)
system.bigCluster.cpus.dcache.overallMisses::total      3339476                       # number of overall misses (Count)
system.bigCluster.cpus.dcache.demandMissLatency::bigCluster.cpus.data 120692220000                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.cpus.dcache.demandMissLatency::total 120692220000                       # number of demand (read+write) miss ticks (Tick)
system.bigCluster.cpus.dcache.overallMissLatency::bigCluster.cpus.data 120692220000                       # number of overall miss ticks (Tick)
system.bigCluster.cpus.dcache.overallMissLatency::total 120692220000                       # number of overall miss ticks (Tick)
system.bigCluster.cpus.dcache.demandAccesses::bigCluster.cpus.data      6258239                       # number of demand (read+write) accesses (Count)
system.bigCluster.cpus.dcache.demandAccesses::total      6258239                       # number of demand (read+write) accesses (Count)
system.bigCluster.cpus.dcache.overallAccesses::bigCluster.cpus.data      6259079                       # number of overall (read+write) accesses (Count)
system.bigCluster.cpus.dcache.overallAccesses::total      6259079                       # number of overall (read+write) accesses (Count)
system.bigCluster.cpus.dcache.demandMissRate::bigCluster.cpus.data     0.533518                       # miss rate for demand accesses (Ratio)
system.bigCluster.cpus.dcache.demandMissRate::total     0.533518                       # miss rate for demand accesses (Ratio)
system.bigCluster.cpus.dcache.overallMissRate::bigCluster.cpus.data     0.533541                       # miss rate for overall accesses (Ratio)
system.bigCluster.cpus.dcache.overallMissRate::total     0.533541                       # miss rate for overall accesses (Ratio)
system.bigCluster.cpus.dcache.demandAvgMissLatency::bigCluster.cpus.data 36147.505706                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.dcache.demandAvgMissLatency::total 36147.505706                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.dcache.overallAvgMissLatency::bigCluster.cpus.data 36141.065245                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.dcache.overallAvgMissLatency::total 36141.065245                       # average overall miss latency ((Cycle/Count))
system.bigCluster.cpus.dcache.blockedCycles::no_mshrs       194357                       # number of cycles access was blocked (Cycle)
system.bigCluster.cpus.dcache.blockedCycles::no_targets           13                       # number of cycles access was blocked (Cycle)
system.bigCluster.cpus.dcache.blockedCauses::no_mshrs         1856                       # number of times access was blocked (Count)
system.bigCluster.cpus.dcache.blockedCauses::no_targets            1                       # number of times access was blocked (Count)
system.bigCluster.cpus.dcache.avgBlocked::no_mshrs   104.718211                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.cpus.dcache.avgBlocked::no_targets           13                       # average number of cycles each access was blocked ((Cycle/Count))
system.bigCluster.cpus.dcache.writebacks::writebacks       338239                       # number of writebacks (Count)
system.bigCluster.cpus.dcache.writebacks::total       338239                       # number of writebacks (Count)
system.bigCluster.cpus.dcache.demandMshrHits::bigCluster.cpus.data      2997591                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.cpus.dcache.demandMshrHits::total      2997591                       # number of demand (read+write) MSHR hits (Count)
system.bigCluster.cpus.dcache.overallMshrHits::bigCluster.cpus.data      2997591                       # number of overall MSHR hits (Count)
system.bigCluster.cpus.dcache.overallMshrHits::total      2997591                       # number of overall MSHR hits (Count)
system.bigCluster.cpus.dcache.demandMshrMisses::bigCluster.cpus.data       341290                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.cpus.dcache.demandMshrMisses::total       341290                       # number of demand (read+write) MSHR misses (Count)
system.bigCluster.cpus.dcache.overallMshrMisses::bigCluster.cpus.data       341300                       # number of overall MSHR misses (Count)
system.bigCluster.cpus.dcache.overallMshrMisses::total       341300                       # number of overall MSHR misses (Count)
system.bigCluster.cpus.dcache.overallMshrUncacheable::bigCluster.cpus.data         5202                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.cpus.dcache.overallMshrUncacheable::total         5202                       # number of overall MSHR uncacheable misses (Count)
system.bigCluster.cpus.dcache.demandMshrMissLatency::bigCluster.cpus.data  17855124000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.cpus.dcache.demandMshrMissLatency::total  17855124000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.bigCluster.cpus.dcache.overallMshrMissLatency::bigCluster.cpus.data  17855460500                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.cpus.dcache.overallMshrMissLatency::total  17855460500                       # number of overall MSHR miss ticks (Tick)
system.bigCluster.cpus.dcache.overallMshrUncacheableLatency::bigCluster.cpus.data    319739000                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.dcache.overallMshrUncacheableLatency::total    319739000                       # number of overall MSHR uncacheable ticks (Tick)
system.bigCluster.cpus.dcache.demandMshrMissRate::bigCluster.cpus.data     0.054535                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.cpus.dcache.demandMshrMissRate::total     0.054535                       # mshr miss ratio for demand accesses (Ratio)
system.bigCluster.cpus.dcache.overallMshrMissRate::bigCluster.cpus.data     0.054529                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.cpus.dcache.overallMshrMissRate::total     0.054529                       # mshr miss ratio for overall accesses (Ratio)
system.bigCluster.cpus.dcache.demandAvgMshrMissLatency::bigCluster.cpus.data 52316.575346                       # average overall mshr miss latency ((Cycle/Count))
system.bigCluster.cpus.dcache.demandAvgMshrMissLatency::total 52316.575346                       # average overall mshr miss latency ((Cycle/Count))
